来源,listing_id,listing_key,タイトル,年式,走行距離,色,販売店場所,url,本体価格,総価格
8190,2100010622952,8190:2100010622952,HONDA 【残価据置 対象】CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル USBポート装備 スペアキーあり,2019,"10,818km",,入間店,https://www.8190.jp/wish/ds/bike/2100010622952/,1398000,
8190,2100011246386,8190:2100011246386,HONDA 【残価据置 対象】CB400スーパーフォア 受注期間限定のカラーリングであるマットシルバーをまとった特別なスーフォア！ 便利なエンジンガード装備!,2020,"28,210km",,岡山店,https://www.8190.jp/wish/ds/bike/2100011246386/,1148000,
8190,2100011270206,8190:2100011270206,HONDA 【残価据置 対象】CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル エンジンガード グリップヒーター スペアキーあり,2019,"7,114km",,草加店,https://www.8190.jp/wish/ds/bike/2100011270206/,1348000,
8190,2100011300309,8190:2100011300309,HONDA 【残価据置 対象】CB400スーパーフォア【エンジンガード装備・2019年モデル】,2019,"6,029km",,上熊本店,https://www.8190.jp/wish/ds/bike/2100011300309/,1498000,
8190,2100011335356,8190:2100011335356,HONDA 【残価据置 対象】CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル デイトナエンジンスライダー,2019,"3,219km",,北九州店,https://www.8190.jp/wish/ds/bike/2100011335356/,1398000,
8190,2100011455214,8190:2100011455214,HONDA CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル／モリワキ製マフラー＆エンジンスライダー他カスタム,2019,743km,,東松山店,https://www.8190.jp/wish/ds/bike/2100011455214/,1548000,
8190,2100011475588,8190:2100011475588,HONDA 【残価据置 対象】CB400スーパーフォア【人気の400㏄ネイキッド☆】,2019,"9,820km",,上熊本店,https://www.8190.jp/wish/ds/bike/2100011475588/,1328000,
8190,2100011492509,8190:2100011492509,HONDA 【残価据置 対象】CB400 SUPER FOUR HYPER VTEC Revo フェンダーレス,2019,"8,622km",,名古屋守山店,https://www.8190.jp/wish/ds/bike/2100011492509/,1428000,
8190,2100011497313,8190:2100011497313,HONDA 【残価据置 対象】CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル フルノーマル,2019,"3,151km",,京都松井山手店,https://www.8190.jp/wish/ds/bike/2100011497313/,1498000,
8190,2100011500938,8190:2100011500938,HONDA CB400 SUPER FOUR HYPER VTEC Revo NC42型 カスタムレバー装備,2019,"13,587km",,府中店,https://www.8190.jp/wish/ds/bike/2100011500938/,1288000,
8190,2100011504554,8190:2100011504554,HONDA 【残価据置 対象】 CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル/センタースタンド,2019,"2,268km",,札幌店,https://www.8190.jp/wish/ds/bike/2100011504554/,1388000,
8190,2100011532939,8190:2100011532939,HONDA CB400 SUPER FOUR HYPER VTEC Revo モリワキ製マフラー エンジンガード USB カスタムシート フェンダーレス,2019,"9,254km",,府中店,https://www.8190.jp/wish/ds/bike/2100011532939/,1348000,
8190,2100011541924,8190:2100011541924,HONDA CB400スーパーフォア レバー バーエンド ラジエーターカバー装備,2019,"4,157km",,神戸伊川谷店,https://www.8190.jp/wish/ds/bike/2100011541924/,1428000,
8190,2100011559868,8190:2100011559868,HONDA CB400 SUPER FOUR HYPER VTEC 2019年モデル／NC42型／フルノーマル車両,2019,"7,438km",,東松山店,https://www.8190.jp/wish/ds/bike/2100011559868/,1348000,
8190,2100011610996,8190:2100011610996,HONDA 【残価据置 対象】CB400スーパーフォア シルキーな滑らかさと高回転まで回したくなる楽しさを誇る4気筒エンジンが愛される理由です！ 寒い日に嬉しいグリップヒーター装備!,2019,"4,429km",,岡山店,https://www.8190.jp/wish/ds/bike/2100011610996/,1478000,
8190,2100011639591,8190:2100011639591,HONDA CB400 SUPER FOUR 2019年モデル/エンジンガード/リアフェンダーレス/純正スペアキーあり,2019,"11,040km",,新潟店,https://www.8190.jp/wish/ds/bike/2100011639591/,1298000,
8190,2100011661202,8190:2100011661202,HONDA CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル エンジンガード カスタム,2019,"11,240km",,豊橋店,https://www.8190.jp/wish/ds/bike/2100011661202/,1358000,
8190,2100011690769,8190:2100011690769,HONDA CB400 SUPER FOUR HYPER VTEC Revo カスタムシート・エンジンガード・低走行車両,2019,"1,025km",,広島店第2ショールーム,https://www.8190.jp/wish/ds/bike/2100011690769/,1580000,
8190,2100011693784,8190:2100011693784,HONDA CB400 SUPER FOUR HYPER VTEC Revo 2019年モデル／モリワキ製エンジンスライダー／USB電源type‐A 2口付き,2019,"7,989km",,東松山店,https://www.8190.jp/wish/ds/bike/2100011693784/,1448000,
bikekan,282628,bikekan:282628,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） ノーマル車 走行7ｋｍ 【HP見た！で川口店限定特典有】,2019,7km,,川口店,https://www.bikekan.jp/buy/detail/282628,1599900,1715700
bikekan,283068,bikekan:283068,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【通販大歓迎】2019年モデル,2019,"2,640km",,新潟中央店,https://www.bikekan.jp/buy/detail/283068,1399900,1515700
