来源,listing_id,listing_key,タイトル,年式,走行距離,色,販売店場所,販売店都道府県,url,本体価格,総価格
webike,2013645,webike:2013645,CB400スーパーフォア /ホンダ 台数限定、ドレミコレクション製CBX TYPE-Xノーマルスタイル外装キット装着車,2019,1,CBX,神奈川県 相模原市中央区 富士見2-8-6,神奈川県,https://moto.webike.net/bike_detail/2013645/,2178000,2275300
webike,2013648,webike:2013648,CB400スーパーフォア /ホンダ 台数限定、ドレミコレクション製外装キット装着車、CBX TYPE-Xフィン付きカウル仕様,2019,1,CBX,神奈川県 相模原市中央区 富士見2-8-6,神奈川県,https://moto.webike.net/bike_detail/2013648/,2178000,2246600
webike,2415591,webike:2415591,CB400スーパーフォア /ホンダ,2022,13,キャンディークロモスフィアレッド（红白黑）,大阪府 八尾市 新家町７-１-１,大阪府,https://moto.webike.net/bike_detail/2415591/,1699900,1790000
webike,2417310,webike:2417310,CB400スーパーフォア [75160] /ホンダ VTEC Revo NC42 最終型 ノーマル車 75160,2019,1,アトモスフィアブルーメタリック（蓝白）,東京都 八王子市 館町2850-1,東京都,https://moto.webike.net/bike_detail/2417310/,1698000,1783600
webike,2431716,webike:2431716,CB400スーパーフォア /ホンダ 最終型 ABS ラジアルタイヤ LEDヘッドライト リターン式・6段変速,2019,53,キャンディークロモスフィアレッド（红白黑）,東京都 葛飾区 南水元 4-17-10,東京都,https://moto.webike.net/bike_detail/2431716/,1659000,1721000
webike,2359623,webike:2359623,CB400スーパーフォア [キャンディークロモスフィアレッド] /ホンダ 2019年モデル 初年度登録2022年 直列4気筒エンジン LEDヘッドライト,2019,1,キャンディークロモスフィアレッド（红白黑）,岡山県 岡山市北区 伊福町3-4-5,岡山県,https://moto.webike.net/bike_detail/2359623/,1650000,1737000
webike,2414273,webike:2414273,CB400スーパーフォア /ホンダ,2019,330,キャンディークロモスフィアレッド（红白黑）,東京都 国分寺市 西元町2-3-20,東京都,https://moto.webike.net/bike_detail/2414273/,1648000,1710900
webike,2420274,webike:2420274,CB400スーパーフォア /ホンダ 最終型・2023年登録ワンオーナー屋内保管車 75104,2022,3,アトモスフィアブルーメタリック（蓝白）,宮城県 仙台市宮城野区 出花1丁目16-12,宮城県,https://moto.webike.net/bike_detail/2420274/,1648000,1726000
bikekan,282628,bikekan:282628,ホンダ CB400 SUPER FOUR REVO（スーパーフォア） ノーマル車 走行7ｋｍ 【HP見た！で川口店限定特典有】,2019,7,キャンディークロモスフィアレッド（红白黑）,川口店,埼玉県,https://www.bikekan.jp/buy/detail/282628,1599900,1715700
bikekan,293524,bikekan:293524,ホンダ CB400 SUPER FOUR REVO ABS（スーパーフォア） 【小牧店限定キャンペーン中！！】走行距離わずか2km！安心のフルノーマル！,2019,2,ダークネスブラックメタリック（黑）,小牧店,愛知県,https://www.bikekan.jp/buy/detail/293524,1599900,1689100
webike,2389296,webike:2389296,CB400スーパーフォア [最終型 ABS LEDヘッドライト標準装備モデル] /ホンダ ご購入希望、ご購入のご相談は080-7795-4091吉澤まで!,2019,1823,ダークネスブラックメタリック（黑）,大阪府 大東市 三箇 3-11-48,大阪府,https://moto.webike.net/bike_detail/2389296/,1599000,1664400
u-media,1246222,u-media:1246222,CB400SF ABS,2020,713,アトモスフィアブルーメタリック（蓝白）,ユーメディア川崎,神奈川県,https://u-media.ne.jp/bike/detail.php?skanrino=1246222,1595000,
